value	label
aloe_vera	True aloe / Indian aloe / Burn plant / Kalabanda / Lolesara
senna_auriculata	Tanners cassia / Avaram seena / Tangedu chettu / Tangadi mara
lantana_camara	Lantana / Attakodalu / Talambralu chettu / Lantana camara
carissa_carandas	Bengal currant / Karanda / Christ's thorn / Vakkaya / Karinda atava
