value	label
bambusa_sp.	Unsure/other bamboo species (Bambusa sp.)
guadua_angustifolia	Guadua bamboo / Colambian veduru / Kolambiyan biḍiru
bambusa_balcooa	Balcooa bamboo / Veduru / Bidiru
