value	label
corypha_umbraculifera	Talipot palm / Tati chettu / Tati mara
caryota_urens	Fishtail palm / Jeeluga / Jenugudu
cocos_nucifera	Coconut / Tenkaya / Tengina mara
areca_catechu	Areca / Vakka / Adike
