value	label
pennisetum_purpureum	Thara / Elephant grass
camellia_sinensis	Tea
helianthus_annuus	Sunflower
pisum_sativum	Pea
allium_cepa	Onion
Poaceae	Nyamura / Grasses
brassica_oleracea	Mburokoli / Broccoli
phaseolus_vulgaris	Mboco / Common bean
zea_mays	Mbembe / Maiz
passiflora_edulis	Matunda / Passion fruit
saccharum_officinarum	Kigwa / Sugarcane
duhaldea_cappa	Duhaldea cappa
cymbopogon_schoenanthus	Camel grass
asparagus_officinalis	Asparagus
