value	label
senna_siamea	Yellow cassia / Siamese senna
melaleuca_viminalis	Weeping bottlebrush
solanum_betaceum	Thabibu / Itunda ria thakame / Tree tomato / Tamarillo
camellia_sinensis	Tea
calliandra_calothyrsus	Red calliandra
gliricidia_sepium	Quick stick / Gliricidia
syzygium_cordatum	Mzambarau / Muriru
ricinus_communis	Mwariki / Mbariki / Castor bean
ocotea_usambarensis	Muzura / Muthaiti / Octea
sesbania_sesban	Muvuri / Mwethia
senna_spectabilis	Muvocori / Muchingiri / American cassia
milletia_dura	Muvanga / Milletia
markhamia_lutea	Muu / Markhamia
croton_macrostachyus	Mutundu / Ethiopian croton
annona_senegalensis	Mutomoko / Wild custard apple
tephrosia_vogelii	Muti wa mbuko/mucamaki
tamarindus_indica	Muthithi
warburgia_ugandensis	Muthiga / East african greenheart
afrocarpus_falcatus	Muthengera / Yellow wood
acacia_mearnsii	Muthanduku / Acacia mearnsii
morus_alba	Mutare / White mulberry
cupressus_lusitanica	Mutarakwa / Muthithinda / Kenya cypress
olea_europaea	Mutamayu / Mutamaiyu / Olive
terminalia_brownii	Mururuku / Wanjiru wa rurii
eucalyptus_globulus	Muringamu / Mubau / Munyua mai / Blue gum
cordia_africana	Muringa / Sudan teak
fraxinus_pennsylvanica	Murera nthenge / Munyukwa / Mexican ash
kigelia_africana	Muratina / Sausage tree
toddalia_simplicifolia	Munderendu
ficus_carica	Mukuyu
combretum_molle	Mukuura / Murema / Velvet bushwillow
albizia_gummifera	Mukurwe / Mukurue / Peacock flower
commiphora_eminii	Mukungugu / Mutongoga / Emin's myrrh
newtonia_buchananii	Mukui / Newtonia
bridelia_micrantha	Mukoigo / Coastal golden-leaf
syzygium_guineense	Mukoe / Guinea
croton_megalocarpus	Mukinduri / Croton
melia_volkensii	Mukau
prunus_africana	Muiri / Mukirikaba / Red stinkwood
erythrina_abyssinica	Muhuti
vitex_keniensis	Muhuru / Meru oak
ficus_thonningii	Mugumo
acacia_abyssinica	Mugaa
mangifera_indica	Muembe / Mango
acrocarpus_fraxinifolius	Mucegecege / Munungu nungu / Shingo tree
spathodea_campanulata	Mucavavinduki / Thageti / African tulip / Nandi frame
jacaranda_mimosifolia	Mucakaranda / Jacaranda
adansonia_digitata	Mubuyu / Baobab
eriobotrya_japonica	Muburuti / Murungatiharu / Loquat
vitex_doniana	Muburu wa weru
psidium_guajava	Mubera / Guava
grevillea_robusta	Mubariti / Mukima / Silky oak (Grevillea)
carica_papaya	Mubabai / Mufafai / Pawpaw
tipuana_tipu	Mtipia / Yellow jacaranda
moringa_oleifera	Moringa / Muringa / Drumstick tree
catha_edulis	Miraa / Khat
annona_cherimola	Matomoko / Cherimoya
macadamia_tetraphylla	Makandamia / Ngande / Ngimbo / Macadamia
leucaena_leucocephala	Lucina / Murukina / Leucaena
punica_granatum	Kukumanga / Pomegranate
croton_dichogamus	Kererwa / Orange leaved croton
euphorbia_tirucalli	Kariaria
artocarpus_heterophyllus	Givenesi / Jack fruit
anthocleista_grandiflora	Forest fever tree
cordia_alliodora	Ecuador laurel
prunus_salicina	Darathini / Prums
coffea_arabica	Coffee arabica
manihot_esculenta	Cassava
melaleuca_citrina	Bottlebrush
gmelina_arborea	Beechwood
persea_americana	Avocado
malus_domestica	Apple
khaya_senegalensis	African mahogany
