value	label
schizostachyum_helferi	Wati / Tuma / Tmar
dendrocalamus_hamiltonii	Wanoke / Siej heh
bambusa_sp.	Unsure/other bamboo species (Bambusa sp.)
guadua_sp	Guadua bamboo
bambusa_balcooa	Giant bamboo
neomicrocalamus_prainii	Beneng
