value	label
merremia_hirta 	Thethar / Wild bindweed
portulaca_oleracea	Netho Saag / Common purslane
lathyrus_sativus	Khesari / Grass pea
phyllanthus_niruri	Hajardana / Bhumi amla
poaceae	Ghas / General grass
triticum_aestivum	Genhu / Wheat
parthenium_hysterophorus	Gajar Ghas / Famine weed
cynodon_dactylon	Dub Ghas / Bermuda grass
eleusine_indica	Crab Grass / Indian goosegrass
eclipta_prostrata	Bhangraiya / False daisy
